Transition(state=array([-0.5513977]), action=1, next_state=array([-0.38281483]), reward=-0.38281482779787934)
Transition(state=array([-0.38281483]), action=1, next_state=array([-0.32951258]), reward=-0.329512581210625)
Transition(state=array([-0.32951258]), action=1, next_state=array([-0.18361433]), reward=-0.18361433459427537)
Transition(state=array([-0.18361433]), action=1, next_state=array([ 0.00930154]), reward=-0.009301538911432441)
Transition(state=array([ 0.00930154]), action=0, next_state=array([-0.04381127]), reward=-0.04381127327764782)
Transition(state=array([-0.04381127]), action=0, next_state=array([-0.12568359]), reward=-0.1256835880680462)
Transition(state=array([-0.12568359]), action=1, next_state=array([-0.00474653]), reward=-0.004746532160402828)
Transition(state=array([-0.00474653]), action=0, next_state=array([ 0.00290389]), reward=-0.0029038947239361625)
Transition(state=array([ 0.00290389]), action=0, next_state=array([ 0.0653847]), reward=-0.06538470277827678)
Transition(state=array([ 0.0653847]), action=0, next_state=array([ 0.12874706]), reward=-0.12874705875236647)
Transition(state=array([ 0.12874706]), action=2, next_state=array([ 0.12108334]), reward=-0.12108333731037926)
Transition(state=array([ 0.12108334]), action=2, next_state=array([-0.05778155]), reward=-0.05778154928157886)
Transition(state=array([-0.05778155]), action=0, next_state=array([-0.11053717]), reward=-0.11053716964505167)
Transition(state=array([-0.11053717]), action=1, next_state=array([-0.05469277]), reward=-0.054692767855555935)
Transition(state=array([-0.05469277]), action=0, next_state=array([-0.07268352]), reward=-0.07268351992457114)
Transition(state=array([-0.07268352]), action=0, next_state=array([-0.07769311]), reward=-0.07769311492128016)
Transition(state=array([-0.07769311]), action=0, next_state=array([-0.04904306]), reward=-0.049043064182858934)
Transition(state=array([-0.04904306]), action=0, next_state=array([ 0.04157243]), reward=-0.04157243028581932)
Transition(state=array([ 0.04157243]), action=0, next_state=array([ 0.09964989]), reward=-0.09964988646291731)
Transition(state=array([ 0.09964989]), action=0, next_state=array([ 0.19388028]), reward=-0.19388027754438958)
Transition(state=array([ 0.19388028]), action=2, next_state=array([ 0.09695056]), reward=-0.09695056124325876)
Transition(state=array([ 0.09695056]), action=0, next_state=array([ 0.12316603]), reward=-0.12316603250684331)
Transition(state=array([ 0.12316603]), action=2, next_state=array([-0.02523391]), reward=-0.025233908637791735)
Transition(state=array([-0.02523391]), action=0, next_state=array([-0.05851178]), reward=-0.05851178193173634)
Transition(state=array([-0.05851178]), action=0, next_state=array([-0.15798355]), reward=-0.15798354520219127)
Transition(state=array([-0.15798355]), action=1, next_state=array([-0.14052943]), reward=-0.14052942849801844)
Transition(state=array([-0.14052943]), action=1, next_state=array([ 0.04814851]), reward=-0.0481485057504004)
Transition(state=array([ 0.04814851]), action=0, next_state=array([ 0.00661814]), reward=-0.006618136309596408)
Transition(state=array([ 0.00661814]), action=0, next_state=array([ 0.04454394]), reward=-0.044543940352103684)
Transition(state=array([ 0.04454394]), action=0, next_state=array([ 0.04086904]), reward=-0.0408690388364744)
Transition(state=array([ 0.04086904]), action=0, next_state=array([-0.02071865]), reward=-0.02071864597728898)
Transition(state=array([-0.02071865]), action=0, next_state=array([-0.01531981]), reward=-0.015319809758432962)
Transition(state=array([-0.01531981]), action=0, next_state=array([-0.03950181]), reward=-0.03950180897511503)
Transition(state=array([-0.03950181]), action=0, next_state=array([ 0.03957673]), reward=-0.03957673175549327)
Transition(state=array([ 0.03957673]), action=0, next_state=array([ 0.06566684]), reward=-0.06566684086733)
Transition(state=array([ 0.06566684]), action=0, next_state=array([ 0.05361429]), reward=-0.05361428594587129)
Transition(state=array([ 0.05361429]), action=0, next_state=array([-0.04612232]), reward=-0.046122320780194286)
Transition(state=array([-0.04612232]), action=0, next_state=array([-0.06405495]), reward=-0.06405494766950012)
Transition(state=array([-0.06405495]), action=0, next_state=array([-0.03856388]), reward=-0.03856388171981144)
Transition(state=array([-0.03856388]), action=0, next_state=array([ 0.00915083]), reward=-0.009150828576279406)
Transition(state=array([ 0.00915083]), action=0, next_state=array([ 0.06177583]), reward=-0.06177582617261498)
Transition(state=array([ 0.06177583]), action=0, next_state=array([ 0.07116609]), reward=-0.07116608694243097)
Transition(state=array([ 0.07116609]), action=0, next_state=array([ 0.01234693]), reward=-0.01234692539198226)
Transition(state=array([ 0.01234693]), action=0, next_state=array([ 0.07055592]), reward=-0.07055591722034651)
Transition(state=array([ 0.07055592]), action=0, next_state=array([ 0.06729174]), reward=-0.06729174367850076)
Transition(state=array([ 0.06729174]), action=0, next_state=array([ 0.07738565]), reward=-0.07738565418960351)
Transition(state=array([ 0.07738565]), action=0, next_state=array([ 0.01204941]), reward=-0.012049410288740028)
Transition(state=array([ 0.01204941]), action=0, next_state=array([ 0.08095218]), reward=-0.080952175494798)
Transition(state=array([ 0.08095218]), action=0, next_state=array([ 0.08942877]), reward=-0.08942876651235868)
Transition(state=array([ 0.08942877]), action=0, next_state=array([ 0.16435083]), reward=-0.1643508315881233)
Transition(state=array([ 0.16435083]), action=2, next_state=array([ 0.14678891]), reward=-0.14678890865098684)
Transition(state=array([ 0.14678891]), action=2, next_state=array([ 0.05591816]), reward=-0.05591815506064518)
Transition(state=array([ 0.05591816]), action=0, next_state=array([-0.04033966]), reward=-0.04033966195565325)
Transition(state=array([-0.04033966]), action=0, next_state=array([-0.1258424]), reward=-0.12584239654138552)
Transition(state=array([-0.1258424]), action=1, next_state=array([-0.05527212]), reward=-0.05527212132760889)
Transition(state=array([-0.05527212]), action=0, next_state=array([-0.1270172]), reward=-0.12701720460104043)
Transition(state=array([-0.1270172]), action=1, next_state=array([ 0.07002384]), reward=-0.07002384121272036)
Transition(state=array([ 0.07002384]), action=0, next_state=array([ 0.04451295]), reward=-0.04451295349626269)
Transition(state=array([ 0.04451295]), action=0, next_state=array([-0.02238237]), reward=-0.022382368480935916)
Transition(state=array([-0.02238237]), action=0, next_state=array([ 0.00695843]), reward=-0.0069584255868384084)
Transition(state=array([ 0.00695843]), action=0, next_state=array([ 0.05081918]), reward=-0.050819177683466665)
