Transition(state=array([ 0.34884428]), action=2, next_state=array([ 0.20823562]), reward=-0.20823562097070777)
Transition(state=array([ 0.20823562]), action=0, next_state=array([ 0.17576736]), reward=-0.17576736476723098)
Transition(state=array([ 0.17576736]), action=1, next_state=array([ 0.38671435]), reward=-0.38671435464916193)
Transition(state=array([ 0.38671435]), action=0, next_state=array([ 0.58594954]), reward=-0.5859495406681398)
Transition(state=array([ 0.58594954]), action=1, next_state=array([ 0.50534095]), reward=-0.5053409496545944)
Transition(state=array([ 0.50534095]), action=1, next_state=array([ 0.7713224]), reward=-0.7713224026633833)
Transition(state=array([ 0.7713224]), action=2, next_state=array([ 0.71744508]), reward=-0.7174450780798447)
Transition(state=array([ 0.71744508]), action=1, next_state=array([ 0.87979145]), reward=-0.8797914464271596)
Transition(state=array([ 0.87979145]), action=0, next_state=array([ 0.89773646]), reward=-0.8977364586469405)
Transition(state=array([ 0.89773646]), action=1, next_state=array([ 0.89412433]), reward=-0.8941243260880899)
Transition(state=array([ 0.89412433]), action=1, next_state=array([ 0.96506262]), reward=-0.96506261873745)
Transition(state=array([ 0.96506262]), action=2, next_state=array([ 0.86894064]), reward=-0.8689406389370454)
Transition(state=array([ 0.86894064]), action=1, next_state=array([ 0.79260663]), reward=-0.7926066257650785)
Transition(state=array([ 0.79260663]), action=2, next_state=array([ 0.52312815]), reward=-0.5231281536603792)
Transition(state=array([ 0.52312815]), action=1, next_state=array([ 0.67582304]), reward=-0.6758230377914693)
Transition(state=array([ 0.67582304]), action=0, next_state=array([ 0.50038236]), reward=-0.5003823573634207)
Transition(state=array([ 0.50038236]), action=1, next_state=array([ 0.51874918]), reward=-0.5187491795411648)
Transition(state=array([ 0.51874918]), action=2, next_state=array([ 0.26444211]), reward=-0.2644421143710387)
Transition(state=array([ 0.26444211]), action=1, next_state=array([ 0.21750779]), reward=-0.21750778908401056)
Transition(state=array([ 0.21750779]), action=1, next_state=array([ 0.13166799]), reward=-0.1316679915056883)
Transition(state=array([ 0.13166799]), action=0, next_state=array([ 0.31874411]), reward=-0.3187441095282161)
Transition(state=array([ 0.31874411]), action=0, next_state=array([ 0.27992108]), reward=-0.27992107900438196)
