Transition(state=array([ 0.14800801, -0.50084984]), action=3, next_state=array([-0.01572656, -0.55180145]), reward=-0.5518014543660551)
Transition(state=array([-0.01572656, -0.55180145]), action=3, next_state=array([ 0.1607344 , -0.38782615]), reward=-0.38782614902148527)
Transition(state=array([ 0.1607344 , -0.38782615]), action=3, next_state=array([-0.00906865, -0.28317228]), reward=-0.28317228039850106)
Transition(state=array([-0.00906865, -0.28317228]), action=3, next_state=array([ 0.1764756 , -0.20754967]), reward=-0.20754966878808476)
Transition(state=array([ 0.1764756 , -0.20754967]), action=3, next_state=array([ 0.24804438, -0.03602718]), reward=-0.24804437569382504)
Transition(state=array([ 0.24804438, -0.03602718]), action=2, next_state=array([ 0.10920453, -0.2098662 ]), reward=-0.20986619807512832)
Transition(state=array([ 0.10920453, -0.2098662 ]), action=3, next_state=array([-0.04641867,  0.07149641]), reward=-0.07149641439776475)
Transition(state=array([-0.04641867,  0.07149641]), action=1, next_state=array([ 0.08715013, -0.03392421]), reward=-0.08715013225278939)
Transition(state=array([ 0.08715013, -0.03392421]), action=0, next_state=array([ 0.06963811, -0.05986979]), reward=-0.06963811339183924)
Transition(state=array([ 0.06963811, -0.05986979]), action=0, next_state=array([0.00839634, 0.11620994]), reward=-0.11620994086751957)
Transition(state=array([0.00839634, 0.11620994]), action=4, next_state=array([ 0.08509045, -0.12217981]), reward=-0.12217981370289327)
Transition(state=array([ 0.08509045, -0.12217981]), action=3, next_state=array([ 0.04091804, -0.16949814]), reward=-0.16949813815240808)
Transition(state=array([ 0.04091804, -0.16949814]), action=3, next_state=array([0.15918788, 0.09144728]), reward=-0.15918788343549523)
Transition(state=array([0.15918788, 0.09144728]), action=2, next_state=array([0.23316048, 0.07231868]), reward=-0.23316048080082366)
Transition(state=array([0.23316048, 0.07231868]), action=2, next_state=array([0.17321914, 0.00079821]), reward=-0.17321913918373175)
Transition(state=array([0.17321914, 0.00079821]), action=2, next_state=array([ 0.07271431, -0.00661162]), reward=-0.07271430783513044)
Transition(state=array([ 0.07271431, -0.00661162]), action=0, next_state=array([0.15592954, 0.09133773]), reward=-0.15592954432250322)
Transition(state=array([0.15592954, 0.09133773]), action=2, next_state=array([ 0.24630856, -0.00677321]), reward=-0.24630855515109926)
Transition(state=array([ 0.24630856, -0.00677321]), action=2, next_state=array([0.27456114, 0.18018855]), reward=-0.27456114243321394)
Transition(state=array([0.27456114, 0.18018855]), action=2, next_state=array([0.18812148, 0.22384764]), reward=-0.2238476366422411)
Transition(state=array([0.18812148, 0.22384764]), action=4, next_state=array([0.22276704, 0.04286204]), reward=-0.2227670428565011)
Transition(state=array([0.22276704, 0.04286204]), action=2, next_state=array([0.12470437, 0.18860454]), reward=-0.18860453745541833)
Transition(state=array([0.12470437, 0.18860454]), action=4, next_state=array([0.01939831, 0.17774253]), reward=-0.17774252554548806)
Transition(state=array([0.01939831, 0.17774253]), action=4, next_state=array([0.04894677, 0.11807224]), reward=-0.11807223828798913)
Transition(state=array([0.04894677, 0.11807224]), action=4, next_state=array([0.02937348, 0.07910867]), reward=-0.07910867332432744)
Transition(state=array([0.02937348, 0.07910867]), action=0, next_state=array([0.18368727, 0.09264211]), reward=-0.18368726780189712)
Transition(state=array([0.18368727, 0.09264211]), action=2, next_state=array([-0.08611727,  0.11459193]), reward=-0.11459193471496215)
Transition(state=array([-0.08611727,  0.11459193]), action=1, next_state=array([0.19818663, 0.16180819]), reward=-0.19818663037879738)
Transition(state=array([0.19818663, 0.16180819]), action=2, next_state=array([-0.10077032,  0.02563726]), reward=-0.1007703221220404)
Transition(state=array([-0.10077032,  0.02563726]), action=1, next_state=array([0.1666401 , 0.04514809]), reward=-0.16664010329066728)
Transition(state=array([0.1666401 , 0.04514809]), action=2, next_state=array([-0.01257303, -0.04874746]), reward=-0.04874746121088777)
Transition(state=array([-0.01257303, -0.04874746]), action=1, next_state=array([-0.07188261, -0.03771552]), reward=-0.07188260780157227)
Transition(state=array([-0.07188261, -0.03771552]), action=1, next_state=array([-0.03766254, -0.01066636]), reward=-0.0376625402308349)
Transition(state=array([-0.03766254, -0.01066636]), action=1, next_state=array([-0.06786108,  0.00847164]), reward=-0.06786108253435111)
Transition(state=array([-0.06786108,  0.00847164]), action=1, next_state=array([ 0.17705079, -0.14585775]), reward=-0.17705078735812088)
Transition(state=array([ 0.17705079, -0.14585775]), action=2, next_state=array([ 0.06550252, -0.12832012]), reward=-0.12832012192171954)
Transition(state=array([ 0.06550252, -0.12832012]), action=3, next_state=array([-0.08254222, -0.00343288]), reward=-0.08254221512886423)
Transition(state=array([-0.08254222, -0.00343288]), action=1, next_state=array([0.15349318, 0.06008249]), reward=-0.15349318068786358)
Transition(state=array([0.15349318, 0.06008249]), action=2, next_state=array([0.03524555, 0.10935433]), reward=-0.10935432642178974)
Transition(state=array([0.03524555, 0.10935433]), action=4, next_state=array([0.23470337, 0.08787281]), reward=-0.23470337292754498)
Transition(state=array([0.23470337, 0.08787281]), action=2, next_state=array([0.02361807, 0.19776439]), reward=-0.19776438860968068)
Transition(state=array([0.02361807, 0.19776439]), action=4, next_state=array([-0.10690895,  0.15527634]), reward=-0.15527634365319196)
Transition(state=array([-0.10690895,  0.15527634]), action=1, next_state=array([-0.10412669,  0.24967913]), reward=-0.2496791267391117)
Transition(state=array([-0.10412669,  0.24967913]), action=4, next_state=array([-0.12768871,  0.21574285]), reward=-0.21574285432788462)
Transition(state=array([-0.12768871,  0.21574285]), action=4, next_state=array([-0.00972078, -0.06961528]), reward=-0.0696152759019881)
Transition(state=array([-0.00972078, -0.06961528]), action=1, next_state=array([ 0.0853356 , -0.25126637]), reward=-0.2512663718832844)
Transition(state=array([ 0.0853356 , -0.25126637]), action=3, next_state=array([-0.03453723, -0.32938757]), reward=-0.3293875705648034)
Transition(state=array([-0.03453723, -0.32938757]), action=3, next_state=array([-0.1039873 , -0.24285404]), reward=-0.24285403805213132)
Transition(state=array([-0.1039873 , -0.24285404]), action=1, next_state=array([ 0.05269145, -0.12456094]), reward=-0.12456094300306632)
Transition(state=array([ 0.05269145, -0.12456094]), action=3, next_state=array([-0.13014165,  0.04515218]), reward=-0.13014164852043697)
Transition(state=array([-0.13014165,  0.04515218]), action=1, next_state=array([-0.09082515,  0.19021964]), reward=-0.19021963862700741)
Transition(state=array([-0.09082515,  0.19021964]), action=4, next_state=array([-0.20771419,  0.11816062]), reward=-0.2077141911051275)
Transition(state=array([-0.20771419,  0.11816062]), action=1, next_state=array([-0.12138164,  0.28600629]), reward=-0.2860062907760722)
Transition(state=array([-0.12138164,  0.28600629]), action=4, next_state=array([-0.21294795,  0.36327455]), reward=-0.3632745538149178)
Transition(state=array([-0.21294795,  0.36327455]), action=4, next_state=array([-0.39154418,  0.35269235]), reward=-0.3915441818598237)
Transition(state=array([-0.39154418,  0.35269235]), action=1, next_state=array([-0.38250793,  0.19024971]), reward=-0.3825079256093976)
Transition(state=array([-0.38250793,  0.19024971]), action=1, next_state=array([-0.28390089,  0.33152278]), reward=-0.3315227761666031)
Transition(state=array([-0.28390089,  0.33152278]), action=1, next_state=array([0.0054686 , 0.23280028]), reward=-0.23280027971832937)
Transition(state=array([0.0054686 , 0.23280028]), action=4, next_state=array([0.152963 , 0.0688356]), reward=-0.1529629966792622)
Transition(state=array([0.152963 , 0.0688356]), action=2, next_state=array([0.15303546, 0.16120029]), reward=-0.16120029337977904)
Transition(state=array([0.15303546, 0.16120029]), action=4, next_state=array([0.23465746, 0.06497231]), reward=-0.23465746006547286)
Transition(state=array([0.23465746, 0.06497231]), action=2, next_state=array([ 0.24569771, -0.08992861]), reward=-0.24569771372504365)
Transition(state=array([ 0.24569771, -0.08992861]), action=2, next_state=array([ 0.02531781, -0.05800543]), reward=-0.05800542949328266)
Transition(state=array([ 0.02531781, -0.05800543]), action=1, next_state=array([ 0.18679023, -0.16070091]), reward=-0.18679023151382645)
Transition(state=array([ 0.18679023, -0.16070091]), action=3, next_state=array([0.03236372, 0.07563958]), reward=-0.07563958087461262)
Transition(state=array([0.03236372, 0.07563958]), action=0, next_state=array([-0.11210994, -0.01584155]), reward=-0.11210993734490685)
Transition(state=array([-0.11210994, -0.01584155]), action=1, next_state=array([ 0.07623292, -0.19097422]), reward=-0.1909742203765955)
Transition(state=array([ 0.07623292, -0.19097422]), action=3, next_state=array([ 0.02541643, -0.09845483]), reward=-0.09845483287710072)
Transition(state=array([ 0.02541643, -0.09845483]), action=1, next_state=array([0.24721959, 0.07524535]), reward=-0.2472195854632047)
Transition(state=array([0.24721959, 0.07524535]), action=2, next_state=array([0.02682964, 0.1657679 ]), reward=-0.16576789912340806)
Transition(state=array([0.02682964, 0.1657679 ]), action=4, next_state=array([ 0.11035598, -0.0347967 ]), reward=-0.11035597911980688)
Transition(state=array([ 0.11035598, -0.0347967 ]), action=0, next_state=array([ 0.09110418, -0.10426438]), reward=-0.10426437877340317)
Transition(state=array([ 0.09110418, -0.10426438]), action=3, next_state=array([ 0.28800376, -0.12222081]), reward=-0.2880037555675563)
Transition(state=array([ 0.28800376, -0.12222081]), action=2, next_state=array([ 0.28207741, -0.13403412]), reward=-0.2820774081433396)
Transition(state=array([ 0.28207741, -0.13403412]), action=2, next_state=array([ 0.25962905, -0.04511026]), reward=-0.25962904767359085)
Transition(state=array([ 0.25962905, -0.04511026]), action=2, next_state=array([ 0.21100803, -0.19985622]), reward=-0.2110080344487448)
Transition(state=array([ 0.21100803, -0.19985622]), action=3, next_state=array([ 0.26048692, -0.2293068 ]), reward=-0.2604869234084602)
Transition(state=array([ 0.26048692, -0.2293068 ]), action=2, next_state=array([ 0.31170923, -0.37530528]), reward=-0.3753052800790537)
Transition(state=array([ 0.31170923, -0.37530528]), action=3, next_state=array([ 0.37358663, -0.0919445 ]), reward=-0.37358663179475005)
